timepoint;subjectID;run;mapping;condition;.groups;pHit.pFa_DT;outlier_DT;pHit.pFa_ST;outlier_ST;Sex;AgeToday
post;101;1;comp;compInterv;1;1;FALSE;1;FALSE;diverse;30
post;101;1;comp;compInterv;1;1;FALSE;1;FALSE;diverse;30
post;101;1;comp;compInterv;1;1;FALSE;1;FALSE;diverse;30
post;101;1;comp;compInterv;1;1;FALSE;1;FALSE;diverse;30
post;101;1;comp;compInterv;1;1;FALSE;1;FALSE;diverse;30
post;101;1;comp;compInterv;1;1;FALSE;1;FALSE;diverse;30
post;101;1;comp;compInterv;1;1;FALSE;1;FALSE;diverse;30
post;101;1;comp;compInterv;1;1;FALSE;1;FALSE;diverse;30
post;101;1;comp;compInterv;2;1;FALSE;1;FALSE;diverse;30
post;101;1;comp;compInterv;2;1;FALSE;1;FALSE;diverse;30
post;101;1;comp;compInterv;2;1;FALSE;1;FALSE;diverse;30
post;101;1;comp;compInterv;2;1;FALSE;1;FALSE;diverse;30
post;101;1;comp;compInterv;2;1;FALSE;1;FALSE;diverse;30
post;101;1;comp;compInterv;2;1;FALSE;1;FALSE;diverse;30
post;101;1;comp;compInterv;2;1;FALSE;1;FALSE;diverse;30
post;101;1;comp;compInterv;2;1;FALSE;1;FALSE;diverse;30
post;101;1;incomp;compInterv;1;0.9;FALSE;1;FALSE;diverse;30
post;101;1;incomp;compInterv;1;0.9;FALSE;1;FALSE;diverse;30
post;101;1;incomp;compInterv;1;0.9;FALSE;1;FALSE;diverse;30
post;101;1;incomp;compInterv;1;0.9;FALSE;1;FALSE;diverse;30
post;101;1;incomp;compInterv;1;0.9;FALSE;1;FALSE;diverse;30
post;101;1;incomp;compInterv;1;0.9;FALSE;1;FALSE;diverse;30
post;101;1;incomp;compInterv;1;0.9;FALSE;1;FALSE;diverse;30
post;101;1;incomp;compInterv;1;0.9;FALSE;1;FALSE;diverse;30
post;101;1;incomp;compInterv;2;0.9;FALSE;1;FALSE;diverse;30
post;101;1;incomp;compInterv;2;0.9;FALSE;1;FALSE;diverse;30
post;101;1;incomp;compInterv;2;0.9;FALSE;1;FALSE;diverse;30
post;101;1;incomp;compInterv;2;0.9;FALSE;1;FALSE;diverse;30
post;101;1;incomp;compInterv;2;0.9;FALSE;1;FALSE;diverse;30
post;101;1;incomp;compInterv;2;0.9;FALSE;1;FALSE;diverse;30
post;101;1;incomp;compInterv;2;0.9;FALSE;1;FALSE;diverse;30
post;101;1;incomp;compInterv;2;0.9;FALSE;1;FALSE;diverse;30
post;101;2;comp;compInterv;1;0.9;FALSE;1;FALSE;diverse;30
post;101;2;comp;compInterv;1;0.9;FALSE;1;FALSE;diverse;30
post;101;2;comp;compInterv;1;0.9;FALSE;1;FALSE;diverse;30
post;101;2;comp;compInterv;1;0.9;FALSE;1;FALSE;diverse;30
post;101;2;comp;compInterv;1;0.9;FALSE;1;FALSE;diverse;30
post;101;2;comp;compInterv;1;0.9;FALSE;1;FALSE;diverse;30
post;101;2;comp;compInterv;1;0.9;FALSE;1;FALSE;diverse;30
post;101;2;comp;compInterv;1;0.9;FALSE;1;FALSE;diverse;30
post;101;2;comp;compInterv;2;0.9;FALSE;1;FALSE;diverse;30
post;101;2;comp;compInterv;2;0.9;FALSE;1;FALSE;diverse;30
post;101;2;comp;compInterv;2;0.9;FALSE;1;FALSE;diverse;30
post;101;2;comp;compInterv;2;0.9;FALSE;1;FALSE;diverse;30
post;101;2;comp;compInterv;2;0.9;FALSE;1;FALSE;diverse;30
post;101;2;comp;compInterv;2;0.9;FALSE;1;FALSE;diverse;30
post;101;2;comp;compInterv;2;0.9;FALSE;1;FALSE;diverse;30
post;101;2;comp;compInterv;2;0.9;FALSE;1;FALSE;diverse;30
post;101;2;incomp;compInterv;1;0.8;FALSE;0.9;FALSE;diverse;30
post;101;2;incomp;compInterv;1;0.8;FALSE;0.9;FALSE;diverse;30
post;101;2;incomp;compInterv;1;0.8;FALSE;0.9;FALSE;diverse;30
post;101;2;incomp;compInterv;1;0.8;FALSE;0.9;FALSE;diverse;30
post;101;2;incomp;compInterv;1;0.8;FALSE;0.9;FALSE;diverse;30
post;101;2;incomp;compInterv;1;0.8;FALSE;0.9;FALSE;diverse;30
post;101;2;incomp;compInterv;1;0.8;FALSE;0.9;FALSE;diverse;30
post;101;2;incomp;compInterv;1;0.8;FALSE;0.9;FALSE;diverse;30
post;101;2;incomp;compInterv;2;0.9;FALSE;1;FALSE;diverse;30
post;101;2;incomp;compInterv;2;0.9;FALSE;1;FALSE;diverse;30
post;101;2;incomp;compInterv;2;0.9;FALSE;1;FALSE;diverse;30
post;101;2;incomp;compInterv;2;0.9;FALSE;1;FALSE;diverse;30
post;101;2;incomp;compInterv;2;0.9;FALSE;1;FALSE;diverse;30
post;101;2;incomp;compInterv;2;0.9;FALSE;1;FALSE;diverse;30
post;101;2;incomp;compInterv;2;0.9;FALSE;1;FALSE;diverse;30
post;101;2;incomp;compInterv;2;0.9;FALSE;1;FALSE;diverse;30
post;102;1;comp;incompInterv;1;0.9;FALSE;1;FALSE;male;26
post;102;1;comp;incompInterv;1;0.9;FALSE;1;FALSE;male;26
post;102;1;comp;incompInterv;1;0.9;FALSE;1;FALSE;male;26
post;102;1;comp;incompInterv;1;0.9;FALSE;1;FALSE;male;26
post;102;1;comp;incompInterv;1;0.9;FALSE;1;FALSE;male;26
post;102;1;comp;incompInterv;1;0.9;FALSE;1;FALSE;male;26
post;102;1;comp;incompInterv;1;0.9;FALSE;1;FALSE;male;26
post;102;1;comp;incompInterv;1;0.9;FALSE;1;FALSE;male;26
post;102;1;comp;incompInterv;2;0.95;FALSE;0.9;FALSE;male;26
post;102;1;comp;incompInterv;2;0.95;FALSE;0.9;FALSE;male;26
post;102;1;comp;incompInterv;2;0.95;FALSE;0.9;FALSE;male;26
post;102;1;comp;incompInterv;2;0.95;FALSE;0.9;FALSE;male;26
post;102;1;comp;incompInterv;2;0.95;FALSE;0.9;FALSE;male;26
post;102;1;comp;incompInterv;2;0.95;FALSE;0.9;FALSE;male;26
post;102;1;comp;incompInterv;2;0.95;FALSE;0.9;FALSE;male;26
post;102;1;comp;incompInterv;2;0.95;FALSE;0.9;FALSE;male;26
post;102;1;incomp;incompInterv;1;0.85;FALSE;0.6;FALSE;male;26
post;102;1;incomp;incompInterv;1;0.85;FALSE;0.6;FALSE;male;26
post;102;1;incomp;incompInterv;1;0.85;FALSE;0.6;FALSE;male;26
post;102;1;incomp;incompInterv;1;0.85;FALSE;0.6;FALSE;male;26
post;102;1;incomp;incompInterv;1;0.85;FALSE;0.6;FALSE;male;26
post;102;1;incomp;incompInterv;1;0.85;FALSE;0.6;FALSE;male;26
post;102;1;incomp;incompInterv;1;0.85;FALSE;0.6;FALSE;male;26
post;102;1;incomp;incompInterv;1;0.85;FALSE;0.6;FALSE;male;26
post;102;1;incomp;incompInterv;1;0.85;FALSE;0.6;FALSE;male;26
post;102;1;incomp;incompInterv;2;1;FALSE;1;FALSE;male;26
post;102;1;incomp;incompInterv;2;1;FALSE;1;FALSE;male;26
post;102;1;incomp;incompInterv;2;1;FALSE;1;FALSE;male;26
post;102;1;incomp;incompInterv;2;1;FALSE;1;FALSE;male;26
post;102;1;incomp;incompInterv;2;1;FALSE;1;FALSE;male;26
post;102;1;incomp;incompInterv;2;1;FALSE;1;FALSE;male;26
post;102;1;incomp;incompInterv;2;1;FALSE;1;FALSE;male;26
post;102;1;incomp;incompInterv;2;1;FALSE;1;FALSE;male;26
post;102;1;incomp;incompInterv;2;1;FALSE;1;FALSE;male;26
post;102;2;comp;incompInterv;1;0.95;FALSE;0.95;FALSE;male;26
post;102;2;comp;incompInterv;1;0.95;FALSE;0.95;FALSE;male;26
post;102;2;comp;incompInterv;1;0.95;FALSE;0.95;FALSE;male;26
post;102;2;comp;incompInterv;1;0.95;FALSE;0.95;FALSE;male;26
post;102;2;comp;incompInterv;1;0.95;FALSE;0.95;FALSE;male;26
